location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,weighted.mean_ensemble,11007.0900845813,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,weighted.mean_ensemble,395.531294704762,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,weighted.mean_ensemble,6626.03367278469,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,weighted.mean_ensemble,265.881568796753,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,3,Cases,weighted.mean_ensemble,4226.4580524947,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,3,Deaths,weighted.mean_ensemble,149.240747213083,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,4,Cases,weighted.mean_ensemble,2965.23025460263,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.01,4,Deaths,weighted.mean_ensemble,70.891917312423,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,1,Cases,weighted.mean_ensemble,12338.36480795,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,weighted.mean_ensemble,431.592629406851,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,weighted.mean_ensemble,7868.09872017345,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,weighted.mean_ensemble,298.970783413456,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,3,Cases,weighted.mean_ensemble,5274.68012396234,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,3,Deaths,weighted.mean_ensemble,176.824048659706,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,4,Cases,weighted.mean_ensemble,3831.08409960697,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,4,Deaths,weighted.mean_ensemble,95.5353098543184,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,1,Cases,weighted.mean_ensemble,13622.3746593227,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,weighted.mean_ensemble,463.596672547892,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,weighted.mean_ensemble,9039.880768577,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,weighted.mean_ensemble,327.945212269361,524,1,ensemble,2021-04-24,10591323,1
