location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Deaths,weighted.mean_ensemble,391.145689121778,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Deaths,weighted.mean_ensemble,262.223195263709,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,1,Deaths,weighted.mean_ensemble,428.16203459224,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Deaths,weighted.mean_ensemble,296.200750303648,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,1,Deaths,weighted.mean_ensemble,460.987391128402,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Deaths,weighted.mean_ensemble,325.641654641709,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,1,Deaths,weighted.mean_ensemble,499.447228777711,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Deaths,weighted.mean_ensemble,360.717235233941,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,1,Deaths,weighted.mean_ensemble,528.187343835048,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Deaths,weighted.mean_ensemble,388.354409781648,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,1,Deaths,weighted.mean_ensemble,552.184228236892,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Deaths,weighted.mean_ensemble,409.852415117046,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,1,Deaths,weighted.mean_ensemble,574.518686185122,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Deaths,weighted.mean_ensemble,428.886680872277,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,1,Deaths,weighted.mean_ensemble,594.182434317526,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,2,Deaths,weighted.mean_ensemble,448.159318006855,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,1,Deaths,weighted.mean_ensemble,614.343148645906,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,2,Deaths,weighted.mean_ensemble,464.611571228307,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,1,Deaths,weighted.mean_ensemble,633.913957360339,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,2,Deaths,weighted.mean_ensemble,483.499252371452,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,1,Deaths,weighted.mean_ensemble,652.45943253913,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,2,Deaths,weighted.mean_ensemble,500.030289181638,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.5,1,Deaths,weighted.mean_ensemble,673.276505713079,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.5,2,Deaths,weighted.mean_ensemble,517.358201841431,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.55,1,Deaths,weighted.mean_ensemble,692.326840168015,662,1,ensemble,2021-04-17,10591323,1
